Question	Response	Collector	project_Title	Name of PI or project lead(s)	Please enter your name	Type of Project	Project Stage	Year Awarded	Faculty_School	Department	Short description of project	Course Format	Course_Level	Course Type	Enrolment Cap	Course Location	source	target	source long name	target long name	value	matrix
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Interviews	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Interviews	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Interviews	1	impactXapproach
"[IMP_APP.0] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Course/program specific knowledge (e.g., the French revolution, F=ma)"	Knowledge tests	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Course specific knowledge	Knowledge tests	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	Knowledge tests	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Attitude surveys	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Attitude surveys	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Attitude surveys	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Interviews	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Interviews	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Interviews	1	impactXapproach
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Knowledge tests	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Lifelong learning skills	Knowledge tests	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Knowledge tests	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Attitude surveys	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Attitude surveys	"Actions and behaviours (e.g.,time on task, enrolment)"	Attitude surveys	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Interviews	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Interviews	"Actions and behaviours (e.g.,time on task, enrolment)"	Interviews	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Knowledge tests	EvalViz_SotlSeed	Aptitude for Knowledge Transfer Across Disciplinary Boundaries	"James Charbonneau, Christopher Addison"	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Science One	Develop a measure of interdisciplinary learning across Science One concepts. 	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Medium (50-150 students)	On campus (NOT blended)	Actions and behaviours	Knowledge tests	"Actions and behaviours (e.g.,time on task, enrolment)"	Knowledge tests	1	impactXapproach
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	EvalViz_SotlSeed	Improving Teamwork Skills in Geological Engineering	Susan Hollingshead	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Earth and Ocean Sciences	" The purpose of this project is to research ways to improve student learning outcomes related to teamwork skills in a six-credit, group-project-based, capstone course for fourth-year undergraduate geological engineering students. This research will use pre-post self-assessments of teamwork skills as well as peer evaluations and other evaluation tools (e.g., coursework) to evaluate the impact of particular interventions on student learning. "	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Low (fewer than 50 students)	On campus (NOT blended)	Active learning - short activities	Attitudes and motivation	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.0] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | In-class group work (e.g., small group discussions, group presentations, worksheets)"	"Actions and behaviours (e.g.,time on task, enrolment)"	EvalViz_SotlSeed	Improving Teamwork Skills in Geological Engineering	Susan Hollingshead	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Earth and Ocean Sciences	" The purpose of this project is to research ways to improve student learning outcomes related to teamwork skills in a six-credit, group-project-based, capstone course for fourth-year undergraduate geological engineering students. This research will use pre-post self-assessments of teamwork skills as well as peer evaluations and other evaluation tools (e.g., coursework) to evaluate the impact of particular interventions on student learning. "	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Low (fewer than 50 students)	On campus (NOT blended)	Active learning - short activities	Actions and behaviours	"Active Learning - short activities (one or more single-session activities, e.g., clickers)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	EvalViz_SotlSeed	Improving Teamwork Skills in Geological Engineering	Susan Hollingshead	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Earth and Ocean Sciences	" The purpose of this project is to research ways to improve student learning outcomes related to teamwork skills in a six-credit, group-project-based, capstone course for fourth-year undergraduate geological engineering students. This research will use pre-post self-assessments of teamwork skills as well as peer evaluations and other evaluation tools (e.g., coursework) to evaluate the impact of particular interventions on student learning. "	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Low (fewer than 50 students)	On campus (NOT blended)	Active learning - multi-session activities	Lifelong learning skills	"Active Learning - multi-session activities (e.g., capstone projects)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.1] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out-of-class group work (e.g., projects)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	EvalViz_SotlSeed	Improving Teamwork Skills in Geological Engineering	Susan Hollingshead	N/A	SoTL seed	In progress	2015	"Science, Faculty of"	Earth and Ocean Sciences	" The purpose of this project is to research ways to improve student learning outcomes related to teamwork skills in a six-credit, group-project-based, capstone course for fourth-year undergraduate geological engineering students. This research will use pre-post self-assessments of teamwork skills as well as peer evaluations and other evaluation tools (e.g., coursework) to evaluate the impact of particular interventions on student learning. "	"Lecture, seminar, tutorial, capstone project"	200-400	Required	Low (fewer than 50 students)	On campus (NOT blended)	Active learning - multi-session activities	Attitudes and motivation	"Active Learning - multi-session activities (e.g., capstone projects)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
